ref_id,referrer_id,referrer_bonus_amount,referral_valid,valid_from,valid_till
1,2,2500,1,05-07-2015,05-09-2015
2,3,2500,1,05-07-2015,05-09-2015
3,5,1000,0,13-12-2015,13-03-2016
4,6,2500,0,25-04-2016,24-06-2016
5,10,1000,1,01-07-2015,01-09-2015
6,12,2500,1,12-05-2015,12-07-2015
7,13,2500,0,05-08-2015,05-10-2015
8,20,1000,1,05-02-2016,05-04-2016
9,2,2500,0,12-08-2015,12-09-2015
10,5,1000,1,18-02-2016,18-05-2016
12,20,1500,1,19-06-2016,19-08-2016
13,9,2500,0,15-11-2015,15-01-2016
14,13,1000,1,01-02-2016,01-04-2016
15,5,1000,1,25-04-2016,24-07-2016
